"OrderID","UPC","Product","Scan Qty","Station","Order Status","Scanned At"
"SS-148188","1000000092799","1","1","Station 1","Partial Order","6/3/2026, 11:56:29 AM"
"SS-148188","1000000092798","1","1","Station 1","Partial Order","6/3/2026, 11:56:32 AM"
"SS-148188","1000000091263","1","1","Station 1","Partial Order","6/3/2026, 11:56:35 AM"
"SS-148188","1000000091261","1","1","Station 1","Partial Order","6/3/2026, 11:56:38 AM"
"SS-148188","1000000092227","1","1","Station 1","Partial Order","6/3/2026, 11:56:41 AM"
"SS-148188","1000000093261","1","1","Station 1","Partial Order","6/3/2026, 11:56:43 AM"
"SS-148188","1000000093120","1","1","Station 1","Partial Order","6/3/2026, 11:56:47 AM"
"SS-150924","1000000085438","1","1","","Pending",""
"SS-150929","1000000085002","1","1","","Pending",""
"SS-150978","1000000083517","1","1","","Pending",""
"SS-150978","1000000081269","1","1","","Pending",""
"SS-150990","1000000087444","1","1","","Pending",""
"SS-150990","1000000088541","1","1","","Pending",""
"SS-150990","1000000087457","1","1","","Pending",""
"SS-150990","1000000091453","1","1","","Pending",""
"SS-150990","1000000088648","1","1","","Pending",""
"SS-150990","1000000092632","1","1","","Pending",""
"SS-151071","1000000091261","1","1","","Pending",""
"SS-151152","1000000083674","1","1","","Pending",""
"SS-151152","1000000083845","1","1","","Pending",""
"SS-151152","1000000089310","1","1","","Pending",""
"SS-151185","1000000082879","1","1","","Pending",""
"SS-151196","1000000092912","1","1","","Pending",""
"SS-151239","1000000085632","1","1","","Pending",""
"SS-151239","1000000083294","1","1","","Pending",""
"SS-151239","1000000073026","1","1","","Pending",""
"SS-151239","1000000072426","1","1","","Pending",""
"SS-151239","1000000072428","1","1","","Pending",""
"SS-151239","1000000083293","1","1","","Pending",""
"SS-151239","1000000091495","1","1","","Pending",""
"SS-151420","1000000088733","1","1","","Pending",""
"SS-151420","1000000090922","1","1","","Pending",""
"SS-151449","1000000086201","1","1","","Pending",""
"SS-151457","1000000081276","1","1","","Pending",""
"SS-151457","1000000080925","1","1","","Pending",""
"SS-151457","1000000081138","1","1","","Pending",""
"SS-151466","1000000081136","1","1","","Pending",""
"SS-151466","1000000078143","1","1","","Pending",""
"SS-151490","1000000093666","1","1","","Pending",""
"SS-151493","1000000093446","1","1","","Pending",""
"SS-151493","1000000093399","1","1","","Pending",""
"SS-151493","1000000093144","1","1","","Pending",""
"SS-151493","1000000092386","1","1","","Pending",""
"SS-151496","1000000084933","1","1","","Pending",""
"SS-151496","1000000083799","1","1","","Pending",""
"SS-151504","1000000091059","1","1","","Pending",""
"SS-151517","1000000082900","1","1","","Pending",""
"SS-151524","1000000093212","1","1","","Pending",""
"SS-151524","1000000093114","1","1","","Pending",""
"SS-151524","1000000082707","1","1","","Pending",""
"SS-151524","1000000086886","1","1","","Pending",""
"SS-151524","1000000082672","1","1","","Pending",""
"SS-151524","1000000082644","1","1","","Pending",""
"SS-151524","1000000092433","1","1","","Pending",""
"SS-151524","1000000093224","1","1","","Pending",""
"SS-151524","1000000088274","1","1","","Pending",""
"SS-151524","1000000087232","1","1","","Pending",""
"SS-151533","1000000084688","1","1","","Pending",""
"SS-151553","1000000081187","1","1","","Pending",""
"SS-151553","1000000078418","1","1","","Pending",""
"SS-151553","1000000078424","1","1","","Pending",""
"SS-151553","1000000086193","1","1","","Pending",""
"SS-151574","1000000088717","1","1","","Pending",""
"SS-151575","1000000083273","1","1","","Pending",""
"SS-151575","1000000083275","1","1","","Pending",""
"SS-151575","1000000083268","1","1","","Pending",""
"SS-151610","1000000089161","1","1","","Pending",""
"SS-151611","1000000082464","1","1","","Pending",""
"SS-151634","1000000086317","1","1","","Pending",""
"SS-151634","1000000093233","1","1","","Pending",""
"SS-151656","1000000092414","1","1","","Pending",""
"SS-151666","1000000093633","1","1","","Pending",""
"SS-151681","1000000093125","1","1","","Pending",""
"SS-151697","1000000090367","1","1","","Pending",""
"SS-151697","1000000090365","1","1","","Pending",""
"SS-151711","1000000093306","1","1","","Pending",""
"SS-151802","1000000084436","1","1","","Pending",""
"SS-151806","1000000092365","1","1","","Pending",""
"SS-151806","1000000092370","1","1","","Pending",""
"SS-151820","1000000093472","1","1","","Pending",""
"SS-151820","1000000091344","1","1","","Pending",""
"SS-151820","1000000092951","1","1","","Pending",""
"SS-151820","1000000087917","1","1","","Pending",""
"SS-151820","1000000093238","1","1","","Pending",""
"SS-151820","1000000093343","1","1","","Pending",""
"SS-151820","1000000093466","1","1","","Pending",""
"SS-151820","1000000093062","1","1","","Pending",""
"SS-151820","1000000089314","1","1","","Pending",""
"SS-151820","1000000093450","1","1","","Pending",""
"SS-151835","1000000086196","1","1","","Pending",""
"SS-151835","1000000092981","1","1","","Pending",""
"SS-151835","1000000093240","1","1","","Pending",""
